,Gov_Satisfaction,Trust_Legal_System,Trust_Politicians,Trust_Political_Parties,Imp_New,Imp_Env,Imp_Free,Imp_Fun,Imp_Rich,Imp_Safe,Imp_Tradition,Imp_Adventure,Imp_Behave,Imp_Creative,Imp_Equality,Imp_Fol_Rules,Imp_Good_Time,Imp_Help_People,Imp_Loyal_Friends,Imp_Humble,Imp_Respect,Imp_Admired,Imp_Strong_Safe_Gov,Imp_Successful,Imp_Understanding
Gov_Satisfaction,1.0,0.4647769918613104,0.5323849971007133,0.43631118176042183,-0.0011780421895635452,0.03330595809332178,0.04264386955610081,0.017904074579404863,-0.04034677043706682,0.03439179087671907,-0.03519939285033973,-0.04161130914932254,-0.006660919185553655,-0.002825945509394529,0.032982076261870975,-0.06537232239360888,-0.006595423467480571,0.0012851654411630456,0.02967170569045822,0.01317050587216979,-0.030062536033936306,-0.00712566105489986,-0.0016126794048108774,-0.021818495704346293,-0.010225841663523565
Trust_Legal_System,0.4647769918613104,1.0,0.5326667030562634,0.4446714574371582,-0.024358237156843873,-0.010434637408721498,0.006044746945606097,-0.016593293247586096,-0.032436816298079395,-0.017212732779882698,-0.05463405378866463,-0.04518804053952673,-0.04454595232549097,-0.03162334890481051,-0.016826745383082105,-0.06679401521176964,-0.033243605442770524,-0.03415002308631609,-0.01969447747817752,-0.020302435708618886,-0.04207212086468935,-0.04194273697750536,-0.03059350946631172,-0.045789651179566467,-0.04547145400769283
Trust_Politicians,0.5323849971007133,0.5326667030562634,1.0,0.5946206518531763,-0.02682762200367909,0.01865864103655524,0.03236278005258714,-0.002106948795172767,-0.059918933203340255,0.022171365015363004,-0.04615737929309644,-0.0666486484266482,-0.037023893703979426,-0.024993838157905096,0.01577186954442065,-0.08740113596932687,-0.024936438920167288,-0.019273746854137668,0.01360746463896712,-0.010467242017884746,-0.05946693156488471,-0.02856694427883131,0.001715197055756484,-0.04988816639976005,-0.029570856448219593
Trust_Political_Parties,0.43631118176042183,0.4446714574371582,0.5946206518531763,1.0,-0.027588269219706186,0.004573789254241512,0.013360476627712182,-0.006619618405012411,-0.048487686944170896,0.0062719345233783145,-0.03789525008808063,-0.06258934217303372,-0.03750709929768398,-0.030336153834504328,0.004684196218592381,-0.06389189350931403,-0.02787814374119015,-0.03371361960326035,0.002361386457750061,-0.02585004773412351,-0.04480311139356113,-0.027794616974173538,-0.011665581143664148,-0.05058808847301143,-0.033092931297683474
Imp_New,-0.0011780421895635452,-0.024358237156843873,-0.02682762200367909,-0.027588269219706186,1.0,0.601728330624908,0.6264215080998942,0.6654892800196602,0.5395104545257035,0.5729424632506197,0.47525635728867466,0.5933269637555729,0.5135998021066759,0.6856796854071698,0.554695954102733,0.4261491914140557,0.6336515147213205,0.5988835942148897,0.5752193715459444,0.46227040504600897,0.48882284453600583,0.6635096232287315,0.5441892068974705,0.655138731766247,0.599838479993726
Imp_Env,0.03330595809332178,-0.010434637408721498,0.01865864103655524,0.004573789254241512,0.601728330624908,1.0,0.7296648056272178,0.7305501042604393,0.4473754509798451,0.769611589391804,0.7035538110660043,0.38803018925025234,0.7114717767646872,0.6298576101598085,0.7059386202301323,0.4822713995318216,0.6383077243492455,0.7441463222516171,0.8122153758317243,0.6616857834004135,0.5659548624986382,0.6266093514816928,0.7482219067482976,0.5920760723059034,0.7017949118985922
Imp_Free,0.04264386955610081,0.006044746945606097,0.03236278005258714,0.013360476627712182,0.6264215080998942,0.7296648056272178,1.0,0.7190083702736229,0.5161798460240359,0.7098203542492639,0.5906025479635411,0.48044896664680137,0.6119755376255566,0.6529802642760059,0.6616129478662974,0.42737746024706397,0.6958140719358745,0.6955266049669827,0.7147085194907844,0.5776313549798541,0.5778317519736993,0.6540751798424391,0.6830061718285994,0.6381488231488269,0.6418367698996936
Imp_Fun,0.017904074579404863,-0.016593293247586096,-0.002106948795172767,-0.006619618405012411,0.6654892800196602,0.7305501042604393,0.7190083702736229,1.0,0.533349346037967,0.6738861091857735,0.6302673418756428,0.5219375802309203,0.6160525627050828,0.6541672957271849,0.6247400730279541,0.44942274856275577,0.7098802098614274,0.6692329777905479,0.7085998561418605,0.551245670095369,0.5761224193258855,0.6525975569482763,0.6561485607749917,0.6692978228351044,0.6340074503272874
Imp_Rich,-0.04034677043706682,-0.032436816298079395,-0.059918933203340255,-0.048487686944170896,0.5395104545257035,0.4473754509798451,0.5161798460240359,0.533349346037967,1.0,0.46961541655743305,0.405604691377574,0.5757022162662293,0.40901538619006084,0.5617312669973933,0.4672847768914042,0.41232163178051995,0.586404646634359,0.44827936151174785,0.4607840372168363,0.34792472007417724,0.5405617451187256,0.6084919975353927,0.4627133350482201,0.627622356546924,0.43849332027298266
Imp_Safe,0.03439179087671907,-0.017212732779882698,0.022171365015363004,0.0062719345233783145,0.5729424632506197,0.769611589391804,0.7098203542492639,0.6738861091857735,0.46961541655743305,1.0,0.6473136946045162,0.34037795117527236,0.6914605360407986,0.5972818994892309,0.7272105218305067,0.4899629159527302,0.6249359337064936,0.6974776126909441,0.7641247461661353,0.6627574155495923,0.5577486011220981,0.633718302430094,0.746245486172506,0.5690583377100557,0.6738150644284141
