cntry,Government Satisfaction,Trust_Legal_System,Trust_Politicians,Trust_Political_Parties,Imp_New,Imp_Env,Imp_Free,Imp_Fun,Imp_Rich,Imp_Safe,Imp_Tradition,Imp_Adventure,Imp_Behave,Imp_Creative,Imp_Equality,Imp_Fol_Rules,Imp_Good_Time,Imp_Help_People,Imp_Loyal_Friends,Imp_Humble,Imp_Respect,Imp_Admired,Imp_Strong_Safe_Gov,Imp_Successful,Imp_Understanding
CH,6.172368130655484,6.456999926432723,5.134260281026999,4.946222320311925,2.852865445449864,1.8911939969101743,1.8104906937394247,2.944750974766424,4.377547266975649,2.4463326712278377,2.833811520635621,3.9000956374604576,2.856175972927242,2.34591333774737,2.0190539248142425,3.569778562495402,2.1702346796145076,2.013757080850438,1.673655558007798,2.5528580887221364,2.927315530052233,3.1520635621275654,2.6207606856470242,3.2089310674611933,2.089752078275583
FI,5.576950565812984,7.070696843359142,4.840619416319238,4.924061941631924,3.1597379392495535,2.3235854675402026,2.502620607504467,3.270696843359142,4.7088743299583085,2.813877307921382,3.346754020250149,4.123585467540202,3.1575342465753424,2.9483621203097083,2.355807027992853,3.287254318046456,3.4797498511018463,2.5292435973793923,2.178558665872543,3.250208457415128,4.103752233472305,4.073913043478261,2.993924955330554,3.841870160810006,2.5191185229303157
GB,4.0380344253192675,5.389561354802887,3.4826762909494726,3.571848972792893,3.0679622431982234,2.239144919489173,2.181010549694614,2.9947251526929484,4.3713492504164355,2.4418656302054416,2.9450305385896725,3.8304275402554135,2.692615213770128,2.6503609106052193,2.1666296501943365,3.4354802887284843,3.4762909494725154,2.0619100499722376,1.9614103275957802,2.750416435313715,3.44164353137146,3.17917823431427,2.424319822320933,3.5165463631315936,2.354802887284842
HU,3.7237492728330426,4.796029668411867,3.2387289121582317,3.2521815008726005,3.060718440954043,2.210805700988947,2.4344822571262363,2.6632489819662593,3.782213496218732,2.144633507853403,2.766652123327516,4.113438045375218,2.7174229203025013,2.7595258871436883,2.4157213496218732,3.624418266433973,2.8776905177428738,2.5940954043048285,2.2142233856893543,2.878344968004654,3.2036794648051194,2.8812536358347876,2.362129144851658,3.189426992437464,2.81151832460733
