cntry,Government Satisfaction,Trust_Legal_System,Trust_Politicians,Trust_Political_Parties,Imp_New,Imp_Env,Imp_Free,Imp_Fun,Imp_Rich,Imp_Safe,Imp_Tradition,Imp_Adventure,Imp_Behave,Imp_Creative,Imp_Equality,Imp_Fol_Rules,Imp_Good_Time,Imp_Help_People,Imp_Loyal_Friends,Imp_Humble,Imp_Respect,Imp_Admired,Imp_Strong_Safe_Gov,Imp_Successful,Imp_Understanding
CH,7.0,7.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0
FI,6.0,8.0,5.0,5.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0
GB,4.0,6.0,4.0,4.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0
HU,4.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
