,Gov_Satisfaction,Trust_Legal_System,Trust_Politicians,Trust_Political_Parties,Imp_New,Imp_Env,Imp_Free,Imp_Fun,Imp_Rich,Imp_Safe,Imp_Tradition,Imp_Adventure,Imp_Behave,Imp_Creative,Imp_Equality,Imp_Fol_Rules,Imp_Good_Time,Imp_Help_People,Imp_Loyal_Friends,Imp_Humble,Imp_Respect,Imp_Admired,Imp_Strong_Safe_Gov,Imp_Successful,Imp_Understanding
Gov_Satisfaction,1.0,0.38180757171362867,0.5568826835837598,0.5298892056286976,-0.01444544666845315,0.010251287193137532,0.03729792228869509,-0.01155042439100287,-0.03887684342189997,-0.011631554699222309,-0.05596540166912226,-0.008081676407635631,-0.08270816121544605,0.008522450608111819,0.027280403502579608,-0.08996860211880148,-0.03036722438747596,0.02250375564791918,0.00849020006163845,-0.007264720546986413,-0.06365339850558349,-0.03260397338988593,-0.052659787143455886,-0.07872034731194497,0.0061472089754231185
Trust_Legal_System,0.38180757171362867,1.0,0.5327469267871539,0.5046159884296832,0.00031678926694094466,-0.01965252466858058,0.025014576314229854,0.01808901071102362,-0.007379502868533797,0.028080058023040255,0.007763362174713788,0.009542001037114388,-0.05636604750749357,-0.003361086353815946,-0.04419974440361641,-0.04127321886264209,-0.0013616419510502184,-0.004493734385469653,-0.00583990929981824,-0.019337392035423357,-0.016169142617234022,-0.027552633139242416,0.004618419802007745,-0.05550732630440804,-0.06178327643143006
Trust_Politicians,0.5568826835837598,0.5327469267871539,1.0,0.8478605421826068,-0.014894654474183845,-0.008041820016081289,0.05699867575368671,0.002919743087522542,-0.01340551148954509,0.010910020590169645,-0.03774199797510401,-0.007313049209129521,-0.055867123914705705,-0.007806402612132407,-0.006829841524435343,-0.06325979967740204,-0.012133582535823577,0.017808930829257566,0.024373244005459663,0.0010934569764041399,-0.03730662437186697,-0.033673251885746644,-0.007385919914514619,-0.06604737320896652,-0.02638383598486338
Trust_Political_Parties,0.5298892056286976,0.5046159884296832,0.8478605421826068,1.0,-0.02735386343256272,-0.01963210061939944,0.04635426368414502,-0.015646404424059096,-0.022889063362224998,0.0015937171564358369,-0.050333728574192216,-0.02174564981459147,-0.06464403822735224,-0.006028779162986582,-0.01511283793933944,-0.06638835686261356,-0.0282707052276631,0.0032797853444718776,0.0067416084876311885,-0.00783610934220873,-0.04540528304273277,-0.0498118149775397,-0.03224908345529319,-0.07759570115402854,-0.030741406475188436
Imp_New,-0.01444544666845315,0.00031678926694094466,-0.014894654474183845,-0.02735386343256272,1.0,0.2621040441628579,0.33577279480382083,0.45334620956912386,0.26019457305538285,0.20830342017733114,0.16543291557074216,0.5139752584432076,0.14548133301421953,0.3987840063036507,0.28973198028238734,0.16012059880693869,0.3991037831930857,0.3372551478029694,0.3090596558555519,0.14699036960099846,0.23630728013489563,0.3734542088548249,0.23139324256557553,0.3878515162111375,0.3347877408071823
Imp_Env,0.010251287193137532,-0.01965252466858058,-0.008041820016081289,-0.01963210061939944,0.2621040441628579,1.0,0.3500742746182906,0.25910715119849775,0.0468762766147629,0.28553560323160154,0.3890681210392705,0.16908646614460407,0.3344828019052152,0.3018656233744525,0.3775155650890054,0.21615539218607077,0.14070069148876574,0.4265169796163957,0.46068926272177046,0.30936615014511915,0.2109953228304822,0.18140110547124103,0.35216975623657093,0.1730816651283538,0.42213785617164673
Imp_Free,0.03729792228869509,0.025014576314229854,0.05699867575368671,0.04635426368414502,0.33577279480382083,0.3500742746182906,1.0,0.33394573522632764,0.1696725605688461,0.2806908552812757,0.18762846500917005,0.30615413502675076,0.2194844544055018,0.35785871339151376,0.34318064661099945,0.14210163521565883,0.31092851210784345,0.436269386534003,0.408554542521748,0.24895615296153065,0.24596666613003154,0.27523344893158397,0.30436314244984947,0.29902836682934236,0.3785231384189469
Imp_Fun,-0.01155042439100287,0.01808901071102362,0.002919743087522542,-0.015646404424059096,0.45334620956912386,0.25910715119849775,0.33394573522632764,1.0,0.28142521497023815,0.22226736506278993,0.24711693654265612,0.4788625318918656,0.18449172930215563,0.2807160630533203,0.2403869915417238,0.1590754299071467,0.5513560456663594,0.3307874192131934,0.3536191210181575,0.16516332701978512,0.26667248028007645,0.33461926757037125,0.28684113555336993,0.3819289204908985,0.26536534054957567
Imp_Rich,-0.03887684342189997,-0.007379502868533797,-0.01340551148954509,-0.022889063362224998,0.26019457305538285,0.0468762766147629,0.1696725605688461,0.28142521497023815,1.0,0.18851919110506082,0.08927105317880325,0.3371283617998361,0.10436612063339494,0.2292935004811138,0.1098009527945539,0.15687194685663555,0.39155374608147286,0.09882928810505952,0.1281311175850041,0.029576364586632077,0.2956521710767102,0.375531732257891,0.1753983125756236,0.45216627520998826,0.052052231567578926
Imp_Safe,-0.011631554699222309,0.028080058023040255,0.010910020590169645,0.0015937171564358369,0.20830342017733114,0.28553560323160154,0.2806908552812757,0.22226736506278993,0.18851919110506082,1.0,0.2956738968420041,0.02466466583463364,0.4139046068317922,0.19228313019602702,0.2966899903710569,0.3445733352123138,0.2321173792881976,0.35967699632159345,0.3796069684112607,0.3157878222275269,0.3028402638528146,0.32290935824470374,0.43892943518816535,0.26768586301156905,0.2809976824233164
Imp_Tradition,-0.05596540166912226,0.007763362174713788,-0.03774199797510401,-0.050333728574192216,0.16543291557074216,0.3890681210392705,0.18762846500917005,0.24711693654265612,0.08927105317880325,0.2956738968420041,1.0,0.07824808769748766,0.40743413722262334,0.1594260200656968,0.17373061767957115,0.34105651361911654,0.1270367355811577,0.30812381279828777,0.37186974944872014,0.26418958572794726,0.30274296334431305,0.15517976999546718,0.37067188922158906,0.1676039830467198,0.23475050652356524
Imp_Adventure,-0.008081676407635631,0.009542001037114388,-0.007313049209129521,-0.02174564981459147,0.5139752584432076,0.16908646614460407,0.30615413502675076,0.4788625318918656,0.3371283617998361,0.02466466583463364,0.07824808769748766,1.0,0.037517463560445205,0.3188816365668058,0.18486263726812438,0.04687494710225597,0.4374996262097901,0.2287546092391608,0.21682876220506206,0.052476293695991,0.23728404489408098,0.3490948556967112,0.16252489521543578,0.43815270325950506,0.2136519456676975
Imp_Behave,-0.08270816121544605,-0.05636604750749357,-0.055867123914705705,-0.06464403822735224,0.14548133301421953,0.3344828019052152,0.2194844544055018,0.18449172930215563,0.10436612063339494,0.4139046068317922,0.40743413722262334,0.037517463560445205,1.0,0.13601289737679995,0.26147405676621777,0.48097457565822294,0.13108900497674963,0.3553988469952452,0.3988017370152367,0.40224699760541344,0.3835417830731482,0.21651629302514072,0.4081635324348958,0.225960401072827,0.29970669918628723
Imp_Creative,0.008522450608111819,-0.003361086353815946,-0.007806402612132407,-0.006028779162986582,0.3987840063036507,0.3018656233744525,0.35785871339151376,0.2807160630533203,0.2292935004811138,0.19228313019602702,0.1594260200656968,0.3188816365668058,0.13601289737679995,1.0,0.2882226185136631,0.10408044554303447,0.21168344126106214,0.32226991589407766,0.28426417609758037,0.15088779853056228,0.17400476032075016,0.31604711797182017,0.2046120013631894,0.3069588900114411,0.3253273431586076
Imp_Equality,0.027280403502579608,-0.04419974440361641,-0.006829841524435343,-0.01511283793933944,0.28973198028238734,0.3775155650890054,0.34318064661099945,0.2403869915417238,0.1098009527945539,0.2966899903710569,0.17373061767957115,0.18486263726812438,0.26147405676621777,0.2882226185136631,1.0,0.1672877480255776,0.17953837427574673,0.4410126205625282,0.3896509505408529,0.3113518593680225,0.16807794169253215,0.2802825020383166,0.27925728478855183,0.20675417079525865,0.4661554541409448
Imp_Fol_Rules,-0.08996860211880148,-0.04127321886264209,-0.06325979967740204,-0.06638835686261356,0.16012059880693869,0.21615539218607077,0.14210163521565883,0.1590754299071467,0.15687194685663555,0.3445733352123138,0.34105651361911654,0.04687494710225597,0.48097457565822294,0.10408044554303447,0.1672877480255776,1.0,0.1507556327262013,0.22876812212934927,0.26159845628041795,0.29469498782807524,0.3739497029647321,0.2141085034400586,0.3342212838511434,0.229959869094431,0.2289073246111323
Imp_Good_Time,-0.03036722438747596,-0.0013616419510502184,-0.012133582535823577,-0.0282707052276631,0.3991037831930857,0.14070069148876574,0.31092851210784345,0.5513560456663594,0.39155374608147286,0.2321173792881976,0.1270367355811577,0.4374996262097901,0.13108900497674963,0.21168344126106214,0.17953837427574673,0.1507556327262013,1.0,0.2361569843341128,0.2754414447562997,0.09650823575286512,0.3180572530113016,0.3901686234859587,0.23219028829206573,0.4226581583868244,0.1875787158850663
Imp_Help_People,0.02250375564791918,-0.004493734385469653,0.017808930829257566,0.0032797853444718776,0.3372551478029694,0.4265169796163957,0.436269386534003,0.3307874192131934,0.09882928810505952,0.35967699632159345,0.30812381279828777,0.2287546092391608,0.3553988469952452,0.32226991589407766,0.4410126205625282,0.22876812212934927,0.2361569843341128,1.0,0.5652416828430656,0.3739125470666643,0.2569129698095574,0.2779677065601065,0.37353752978415705,0.29234822786821,0.4945688071650734
Imp_Loyal_Friends,0.00849020006163845,-0.00583990929981824,0.024373244005459663,0.0067416084876311885,0.3090596558555519,0.46068926272177046,0.408554542521748,0.3536191210181575,0.1281311175850041,0.3796069684112607,0.37186974944872014,0.21682876220506206,0.3988017370152367,0.28426417609758037,0.3896509505408529,0.26159845628041795,0.2754414447562997,0.5652416828430656,1.0,0.3462107051610724,0.3483687140508876,0.28720345089654126,0.41343909574667176,0.2771160996369626,0.44474858018404706
Imp_Humble,-0.007264720546986413,-0.019337392035423357,0.0010934569764041399,-0.00783610934220873,0.14699036960099846,0.30936615014511915,0.24895615296153065,0.16516332701978512,0.029576364586632077,0.3157878222275269,0.26418958572794726,0.052476293695991,0.40224699760541344,0.15088779853056228,0.3113518593680225,0.29469498782807524,0.09650823575286512,0.3739125470666643,0.3462107051610724,1.0,0.1524157560754112,0.11782130137911935,0.29833883968682934,0.11710691145745926,0.39357728441990325
Imp_Respect,-0.06365339850558349,-0.016169142617234022,-0.03730662437186697,-0.04540528304273277,0.23630728013489563,0.2109953228304822,0.24596666613003154,0.26667248028007645,0.2956521710767102,0.3028402638528146,0.30274296334431305,0.23728404489408098,0.3835417830731482,0.17400476032075016,0.16807794169253215,0.3739497029647321,0.3180572530113016,0.2569129698095574,0.3483687140508876,0.1524157560754112,1.0,0.40480008012550206,0.30719336713143536,0.44378829359515265,0.17854026869038428
Imp_Admired,-0.03260397338988593,-0.027552633139242416,-0.033673251885746644,-0.0498118149775397,0.3734542088548249,0.18140110547124103,0.27523344893158397,0.33461926757037125,0.375531732257891,0.32290935824470374,0.15517976999546718,0.3490948556967112,0.21651629302514072,0.31604711797182017,0.2802825020383166,0.2141085034400586,0.3901686234859587,0.2779677065601065,0.28720345089654126,0.11782130137911935,0.40480008012550206,1.0,0.24462381898861205,0.5876881091433295,0.24311713416847922
Imp_Strong_Safe_Gov,-0.052659787143455886,0.004618419802007745,-0.007385919914514619,-0.03224908345529319,0.23139324256557553,0.35216975623657093,0.30436314244984947,0.28684113555336993,0.1753983125756236,0.43892943518816535,0.37067188922158906,0.16252489521543578,0.4081635324348958,0.2046120013631894,0.27925728478855183,0.3342212838511434,0.23219028829206573,0.37353752978415705,0.41343909574667176,0.29833883968682934,0.30719336713143536,0.24462381898861205,1.0,0.28819148888011453,0.31350486403201294
Imp_Successful,-0.07872034731194497,-0.05550732630440804,-0.06604737320896652,-0.07759570115402854,0.3878515162111375,0.1730816651283538,0.29902836682934236,0.3819289204908985,0.45216627520998826,0.26768586301156905,0.1676039830467198,0.43815270325950506,0.225960401072827,0.3069588900114411,0.20675417079525865,0.229959869094431,0.4226581583868244,0.29234822786821,0.2771160996369626,0.11710691145745926,0.44378829359515265,0.5876881091433295,0.28819148888011453,1.0,0.22494251472509638
Imp_Understanding,0.0061472089754231185,-0.06178327643143006,-0.02638383598486338,-0.030741406475188436,0.3347877408071823,0.42213785617164673,0.3785231384189469,0.26536534054957567,0.052052231567578926,0.2809976824233164,0.23475050652356524,0.2136519456676975,0.29970669918628723,0.3253273431586076,0.4661554541409448,0.2289073246111323,0.1875787158850663,0.4945688071650734,0.44474858018404706,0.39357728441990325,0.17854026869038428,0.24311713416847922,0.31350486403201294,0.22494251472509638,1.0
