,trstlgl,trstplc,trstplt,trstprl,trstprt,lrscale,netustm,essround
trstlgl,1.0,0.6802193118954716,0.5818990457587593,0.6654150055001713,0.2503154997625831,0.10065243007091192,0.032375513495559664,
trstplc,0.6802193118954716,1.0,0.4702385659376017,0.5058915964009666,0.18008577742174312,0.12724628828657972,0.020987913415711105,
trstplt,0.5818990457587593,0.4702385659376017,1.0,0.7707070295554129,0.37427417008913044,0.14652986589066033,-0.012023282126996071,
trstprl,0.6654150055001713,0.5058915964009666,0.7707070295554129,1.0,0.3255873477664449,0.1714224940112106,0.007190350620050129,
trstprt,0.2503154997625831,0.18008577742174312,0.37427417008913044,0.3255873477664449,1.0,0.03429769819214626,0.031128513409931512,
lrscale,0.10065243007091192,0.12724628828657972,0.14652986589066033,0.1714224940112106,0.03429769819214626,1.0,-0.04177854505162686,
netustm,0.032375513495559664,0.020987913415711105,-0.012023282126996071,0.007190350620050129,0.031128513409931512,-0.04177854505162686,1.0,
essround,,,,,,,,
